Answer: 
( [] , 19094.1 )
( [][] , 424526 )
( [][][] , 269219 )
( [[][]] , 11156.1 )
( [[][][]] , 11171.2 )
( [][[][]] , 2295.74 )
( [[][]][] , 22683.4 )
( [[][][][]] , 3666.86 )
( [][][][] , 15890.8 )
( [[[][]][]] , 591.43 )
( [][[][][]] , 2041.07 )
( [[][][]][] , 9672.53 )
( [][][[][]] , 881.328 )
( [][[][]][] , 5835.06 )
( [][][][][] , 12067.5 )
( [[][]][][] , 1385.23 )
( [][][[][][]] , 695.601 )
( [[][][][]][] , 12134.6 )
( [[][[][]]] , 57.2924 )
( [[][][][][]] , 2991.88 )
( [][[][][][]] , 1711.28 )
( [][][][[][]] , 1044.62 )
( [][[][][]][] , 2006.03 )
( [[][]][[][]] , 26.8455 )
( [[][[][]][]] , 98.7854 )
( [][[[][]][]] , 75.5585 )
( [][][[][]][] , 601.454 )
( [[[][]][]][] , 178.617 )
( [[][][]][][] , 810.616 )
( [][][][][][] , 314.046 )
( [[][]][][][] , 343.753 )
( [[][][]][[][]] , 20.8458 )
( [[][][][]][][] , 286.835 )
( [[][][[][]]] , 23.1278 )
( [[[][]][][]] , 534.725 )
( [[[][][]][]] , 256.839 )
( [[][[][][]]] , 11.5661 )
( [[][][][][][]] , 1094.03 )
( [[[][]][][][]] , 33.7551 )
( [[][][[][]][]] , 46.3259 )
( [[][[][][]][]] , 18.6253 )
( [[[][][]][][]] , 217.764 )
( [][[][]][][] , 402.311 )
( [][[][][][]][] , 268.704 )
( [][[][[][]]] , 32.7137 )
( [][[][][][][]] , 358.1 )
( [][][[][][][]] , 382.13 )
( [][[][[][]][]] , 14.7108 )
( [][][[[][]][]] , 28.5134 )
( [][][][[][]][] , 50.8842 )
( [][[][[][]]][] , 89.0067 )
( [[][][][[][]][]] , 19.8195 )
( [][[][]][[][]] , 19.2612 )
( [][[[][]][][]] , 64.3237 )
( [][[[][][]][]] , 9.52261 )
( [][[][][][][][]] , 320.827 )
( [][[][][[][]][]] , 8.81223 )
( [][][][][[][]] , 23.2747 )
( [[][][]][][][] , 14.6128 )
( [[[][][][]][]] , 335.985 )
( [][][][[][][]] , 19.0536 )
( [][][[][][]][] , 20.9168 )
( [][[][][]][][] , 92.5004 )
( [][[][]][][][] , 8.33181 )
( [[][][][][]][] , 1318.19 )
( [[[][][]][]][] , 67.663 )
( [[][[][]][][]] , 177.951 )
( [[][[][][][]]] , 1.55423 )
( [[][][][][][][]] , 619.215 )
( [[[][][][]][][]] , 321.421 )
( [][[][][]][[][]] , 5.41619 )
( [[][[][]]][] , 420.533 )
( [[][[][]][]][] , 79.6296 )
( [[][[][][]]][] , 40.7859 )
( [[][][][][][]][] , 108.266 )
( [[][][[][][]]] , 7.68477 )
( [][[[][]][]][] , 13.7946 )
( [][][][][][][] , 45.9127 )
( [][[][][][][]][] , 75.4144 )
( [][[][][][]][][] , 88.2457 )
( [][][[][]][][] , 184.428 )
( [][][[][][][]][] , 5.90722 )
( [][][[][][][][]] , 66.6452 )
( [][][[][[][]][]] , 5.19508 )
( [][][[][][[][]][]] , 1.73408 )
( [[][]][][[][]] , 6.66697 )
( [[][]][[][]][] , 82.7545 )
( [[][][][]][[][]] , 5.37288 )
( [[][[][]]][][] , 26.4741 )
( [[][][][][]][][] , 64.5456 )
( [[[[][]][]][]] , 2.81747 )
( [[][[][]][][][]] , 4.86053 )
( [[][][[][]][][]] , 128.49 )
( [[][[][][]][][]] , 29.9786 )
( [[][[][][][]][]] , 7.43859 )
( [[[][][]][][][]] , 5.72838 )
( [[][][[][][]][]] , 4.93999 )
