Answer: 
( ( [[][][]] , 780 ) , (((((.....))...((....))((...)).))). )
( ( [][][][] , 750 ) , ((......))((....))((....))((....)). )
( ( [[][]][] , 920 ) , ((((....))((....)))).....(((....))) )
( ( [][][] , 330 ) , .((((.........))))((....))((....)). )
( ( [][][] , 330 ) , ((......))((....)).......(((....))) )
( ( [[][]] , -50 ) , (((((.........)))((.((......)))))). )
( ( [][] , -180 ) , ((......)).....((((.((......)))))). )
( ( [][] , -180 ) , ((......))((((.(((.....)))))))..... )
( ( [] , -320 ) , ...............((((.((......)))))). )
( ( [] , -320 ) , ..........((((.(((.....)))))))..... )
( (  , 0 ) , ................................... )
( ( [][[][]] , 1390 ) , ((......))..((.((....))((...))..)). )

