Answer: 
( [][][[][]] , 65.2081 )
( [][[][]][] , 5.83521 )
( [][[][]] , 1822.26 )
( [][[[][]][][]] , 36.1383 )
( [][[[][]][]] , 110.49 )
( [][[][][]] , 44.723 )
( [][[][[][]]] , 1908.67 )
( [][[][][[][]]] , 18.0232 )
( [[][]][[][[][]]] , 234.788 )
( [[][]][[][]] , 359.903 )
( [[][]][] , 627.833 )
( [[[][]][][]][] , 0.184752 )
( [[[[][]][]][]][] , 1.94531 )
( [[[][]][]][] , 170.717 )
( [][][][[][[][]]] , 1.27548 )
( [][[][][][]] , 5.63116 )
( [][][] , 26.5958 )
( [][] , 196.87 )
( [[][][]] , 268.11 )
( [[][[][]]] , 1252.24 )
( [[][[][][]]] , 10.2087 )
( [[][[[][]][]]] , 44.6678 )
( [[][[][[][]]]] , 1.90922 )
( [[[][]][[][]]] , 28.0446 )
( [[[][]][][]] , 3798.83 )
( [[[][]][]] , 63915 )
( [[[[][]][]][]] , 184.56 )
( [[][]] , 6987 )
( [[][[[][]][][]]] , 9.22799 )
( [][[[][][]][]] , 1.40102 )
( [][][[][[][]]] , 254.723 )
( [][][[][][]] , 2.97552 )
( [[][]][][] , 30.3925 )
( [[][[][]][]] , 11.1042 )
( [[[][[][]]][]] , 4.10588 )
( [[[][][]][]] , 28.1367 )
( [[][][[][]]] , 6.50985 )
( [[][][][]] , 41.8092 )
( [[[[][]][]][][]] , 2.66485 )
( [[[[][]][]][[][]]] , 0.747744 )
( [[][[][][][]]] , 1.46865 )
( [[[][][]][][]] , 0.541563 )
( [] , 0.732705 )
( [][][][[][]] , 0.477518 )
( [][[][]][][] , 0.583459 )
( [][[][]][[][]] , 0.400642 )
( [[][][][[][]]] , 0.0969829 )
( [[[][]][][[][]]] , 0.23566 )
( [[][[[][][]][]]] , 0.120362 )
( [[][[][[[][]][]]]] , 0.0912632 )
( [[][[][[][]][]]] , 0.108505 )
( [[][][][][]] , 0.198545 )
( [[][]][][][] , 0.552275 )
( [][][][] , 0.543108 )
( [[][][]][] , 0.346132 )
( [[][[][]]][] , 0.689616 )
( [[][]][][[][]] , 0.302665 )
( [][[][[][][]]] , 3.56584 )
( [][[][[[][]][]]] , 2.62804 )
( [][[][[][[][]]]] , 0.311905 )
( [][[[][]][[][]]] , 0.45365 )
( [][][[[][]][]] , 0.487024 )
( [][][[[][]][][]] , 0.458008 )
( [][][[][[][][]]] , 0.116299 )
( [][[][[][]][]] , 0.264087 )
( [[[][]][]][][] , 4.18132 )
( [[[][]][]][[][]] , 0.464677 )
( [[][]][[][][]] , 2.94935 )
( [[][]][[[][]][]] , 0.484603 )
( [[][]][[[][]][][]] , 0.466722 )
( [[][]][[][[][][]]] , 0.146454 )
( [[][][]][[][]] , 0.643674 )
( [[][[][]]][[][]] , 0.202699 )

