first derivatives for non-terminal "A":
1	0.00606946	0.00022319	5.99976e-06	1.02946e-07	
0.0698228	0.852271	0.00826127	0.000247646	4.78116e-06	
0.0527775	0.150125	0.594083	0.00709746	0.000151272	
0.0389843	0.133588	0.221067	0.178603	0.00249627	
0.040212	0.115935	0.222283	0.115935	0.040212	
0.00249627	0.178603	0.221067	0.133588	0.0389843	
0.000151272	0.00709746	0.594083	0.150125	0.0527775	
4.78116e-06	0.000247646	0.00826127	0.852271	0.0698228	
1.02946e-07	5.99976e-06	0.00022319	0.00606946	1	
first derivatives for non-terminal "xDel":
inf	0.00623587	0.000227631	6.07502e-06	1.02946e-07	
inf	0.00214306	0.00614263	0.000187424	3.64838e-06	
inf	0.00103354	0.00210172	0.00475387	0.000101912	
inf	0.000859976	0.00204139	0.00187244	0.000999594	
inf	0.000701791	0.00196425	0.00196425	0.000701791	
inf	0.000999594	0.00187244	0.00204139	0.000859976	
inf	0.000101912	0.00475387	0.00210172	0.00103354	
inf	3.64838e-06	0.000187424	0.00614263	0.00214306	
inf	1.02946e-07	6.07502e-06	0.000227631	0.00623587	
first derivatives for non-terminal "xIns":
inf	inf	inf	inf	inf	
0.145698	0.00381989	0.000160421	4.86698e-06	1.02946e-07	
0.103788	0.257918	0.00595903	0.000201724	4.85642e-06	
0.0697762	0.223578	0.418363	0.00574359	0.000154822	
0.0421197	0.184763	0.423994	0.14272	0.00260946	
0.00260946	0.14272	0.423994	0.184763	0.0421197	
0.000154822	0.00574359	0.418363	0.223578	0.0697762	
4.85642e-06	0.000201724	0.00595903	0.257918	0.103788	
1.02946e-07	4.86698e-06	0.000160421	0.00381989	0.145698	
