Answer: 
( [] , -3.85947 )
( [[][]] , -8.59462 )
( [[][][]] , -11.4959 )
( [[[][]][]] , -15.5163 )
( [[][[][]]] , -19.8707 )
( [[][][][]] , -14.7796 )
( [[][][[][]]] , -32.4692 )
( [[][[][]][]] , -22.2508 )
( [[[][][]][]] , -19.4983 )
( [[][][][][]] , -18.9167 )
( [[[][]][][]] , -19.6003 )
( [[][[][]][][]] , -33.0531 )
( [[[[][]][]][]] , -25.13 )
( [[[][][][]][]] , -25.0973 )
( [][] , -5.48891 )
( [][[][]] , -14.4284 )
( [][[][][]] , -17.7561 )
( [][[[][]][]] , -23.4698 )
( [][[][[][]]] , -34.5131 )
( [][[][][][]] , -22.5607 )
( [][[[][]][][]] , -33.4841 )
( [][[[][][]][]] , -34.5866 )
( [][[[[][]][]][]] , -39.4923 )
( [][][] , -8.41623 )
( [][][[][]] , -19.8253 )
( [][][[][][]] , -25.5699 )
( [[][]][] , -12.4825 )
( [[][]][[][]] , -26.9047 )
( [][][][] , -12.6693 )
( [][][][[][]] , -29.0732 )
( [[][][]][] , -17.2646 )
( [[][][]][[][]] , -36.8559 )
( [][[][]][] , -19.5018 )
( [][[][]][[][]] , -39.6282 )
( [][][][][] , -18.3334 )
( [][][][][[][]] , -40.1979 )
( [[][]][][] , -18.2448 )
( [[][[][]]][] , -29.9511 )
( [[[][]][]][] , -23.1675 )
( [[][][]][][] , -24.0266 )
( [][[][]][][] , -25.9987 )
( [][][][][][] , -27.1253 )
( [[][][][]][] , -22.5829 )
( [[][[][]][]][] , -34.6969 )
( [[[][][]][]][] , -28.36 )
( [][[][][]][] , -25.5345 )
( [][[[][]][]][] , -31.3776 )
( [][][[][]][] , -30.2165 )
( [[][[][]]][][] , -35.7236 )
( [[][]][][][] , -26.3995 )
( [[][[][][]]] , -31.8984 )
(  , -5.80882 )
( [[][[[][]][]]] , -39.2717 )
( [[[][[][]]][]] , -35.1806 )
( [[[][][]][][]] , -25.821 )
( [[][[][][]][]] , -36.07 )
( [[][[[][]][]][]] , -40.9757 )
( [[[][]][][][]] , -28.1408 )
( [[[][[][]]][][]] , -37.5473 )
( [[[][[][]][]][]] , -37.2117 )
( [[[[][][]][]][]] , -30.8748 )

