Answer: 
( _[]_[]_[]_[]_[]_ , 231 )
( _[]_[]_[]_[]_ , 5759 )
( _[]_[]_[][]_ , 2835 )
( _[]_[]_[][_[]_]_ , 328 )
( _[]_[]_[][[]_]_ , 104 )
( _[]_[]_[][]_[]_ , 212 )
( _[]_[]_[_[]][]_ , 212 )
( _[]_[]_[_[]_][]_ , 338 )
( _[]_[]_[]_ , 16328 )
( _[]_[]_[]_[] , 1516 )
( _[]_[]_[]_[[]_]_ , 300 )
( _[]_[]_[]_[_[]_]_ , 520 )
( _[]_[]_[]_[][]_ , 248 )
( _[]_[]_[]_[[]_] , 194 )
( _[]_[]_[]_[_[]_] , 624 )
( _[]_[]_[_[]]_ , 1009 )
( _[]_[]_[_[]]_[]_ , 524 )
( _[]_[]_[_[]_]_ , 12284 )
( _[]_[]_[_[]_]_[]_ , 1015 )
( _[]_[]_[_[_[]_]_]_ , 1950 )
( _[]_[]_ , 6301 )
( _[]_[]_[] , 5226 )
( _[]_[]_[[]_]_ , 4632 )
( _[]_[]_[[]_] , 1238 )
( _[]_[]_[_[]_] , 4547 )
( _[]_[]_[][] , 518 )
( _[]_[]_[[][]_]_ , 394 )
( _[]_[]_[_[]_[]_]_ , 811 )
( _[]_[]_[[[]_]_]_ , 434 )
( _[]_[]_[[_[]_]_]_ , 1373 )
( _[]_[]_[[]_[]]_ , 155 )
( _[]_[]_[_[[]_]]_ , 338 )
( _[]_[]_[_[_[]_]]_ , 806 )
( _[]_[]_[[]_]_[]_ , 460 )
( _[]_[]_[[]_[]_]_ , 348 )
( _[]_[]_[_[][]_]_ , 428 )
( _[]_[]_[_[[]_]_]_ , 810 )
( _[]_[_[]_[]]_ , 4385 )
( _[]_[_[]_[_[]]]_ , 183 )
( _[]_[_[]_[[]_]]_ , 362 )
( _[]_[_[]_[[_[]_]_]]_ , 22 )
( _[]_[_[]_[_[]_]]_ , 892 )
( _[]_[[]_[][]_]_ , 236 )
( _[]_[[]_[]_[]_]_ , 329 )
( _[]_[[]_[]_]_ , 5372 )
( _[]_[[]_[_[]]_]_ , 335 )
( _[]_[[]_[_[]_]_]_ , 1489 )
( _[]_[[]_[[]_]_]_ , 761 )
( _[]_[[_[]]_[]_]_ , 673 )
( _[]_[[[]_]_[]_]_ , 340 )
( _[]_[[_[]_]_[]_]_ , 979 )
( _[]_[[][]_[]_]_ , 359 )
( _[]_[[][][]_]_ , 206 )
( _[]_[[][]_]_ , 2420 )
( _[]_[[][[]_]_]_ , 163 )
( _[]_[[][_[]_]_]_ , 964 )
( _[]_[[][_[]]_]_ , 163 )
( _[]_[[_[]][]_]_ , 551 )
( _[]_[[[]_][]_]_ , 240 )
( _[]_[[_[]_][]_]_ , 1025 )
( _[]_[[_[]]_[_[]_]_]_ , 8 )
( _[]_[[[]_]_[_[]_]_]_ , 3 )
( _[]_[_[][]_[]_]_ , 659 )
( _[]_[_[][][]_]_ , 402 )
( _[]_[_[][]_]_ , 8615 )
( _[]_[_[][[]_]_]_ , 351 )
( _[]_[_[][_[]]_]_ , 251 )
( _[]_[_[][_[]_]_]_ , 1289 )
( _[]_[_[_[]][]_]_ , 749 )
( _[]_[_[[]_][]_]_ , 772 )
( _[]_[_[_[]_][]_]_ , 1727 )
( _[]_[_[]_[]_[]_]_ , 631 )
( _[]_[_[]_[]_]_ , 17925 )
( _[]_[_[]_[_[]_]_]_ , 2763 )
( _[]_[_[]_[_[]]_]_ , 498 )
( _[]_[_[]_[[]_]_]_ , 1258 )
( _[]_[_[_[]]_[]_]_ , 1825 )
( _[]_[_[[]_]_[]_]_ , 1540 )
( _[]_[_[_[]_]_[]_]_ , 2983 )
( _[]_[_[]_[][]_]_ , 397 )
( _[]_[_[_[]_][_[]_]_]_ , 83 )
( _[]_[_[_[][]]_[]_]_ , 15 )
( _[]_[[][]]_ , 555 )
( _[]_[[][_[]_[]]]_ , 3 )
( _[]_[[][[]_[]_]]_ , 3 )
( _[]_[[][[][]_]]_ , 6 )
( _[]_[[][[]_[]]]_ , 3 )
( _[]_[[][_[]]]_ , 12 )
( _[]_[[][[]_]]_ , 157 )
( _[]_[[][[_[]]_]]_ , 6 )
( _[]_[[][[_[]_]_]]_ , 3 )
( _[]_[[][_[]_]]_ , 301 )
( _[]_[[][_[_[]]_]]_ , 6 )
( _[]_[[][_[[]_]_]]_ , 6 )
( _[]_[[][_[_[]_]_]]_ , 9 )
( _[]_[[]_[]]_ , 1608 )
( _[]_[[]_[_[]]]_ , 92 )
( _[]_[[]_[[]_]]_ , 342 )
( _[]_[[]_[[_[]_]_]]_ , 29 )
( _[]_[[]_[_[]_]]_ , 960 )
( _[]_[_[]]_ , 4732 )
( _[]_[_[_[][]]]_ , 227 )
( _[]_[_[_[_[]_][]]]_ , 10 )
( _[]_[_[_[]_[]]]_ , 817 )
( _[]_[_[_[_[]]_[]]]_ , 31 )
( _[]_[_[_[[]_]_[]]]_ , 49 )
( _[]_[_[_[_[]_]_[]]]_ , 53 )
( _[]_[_[_[][]_[]]]_ , 10 )
( _[]_[_[_[]_[]_[]]]_ , 3 )
( _[]_[_[[]_[]_]]_ , 1044 )
( _[]_[_[[][]_]]_ , 631 )
( _[]_[_[_[][]_]]_ , 892 )
( _[]_[_[_[_[]][]_]]_ , 6 )
( _[]_[_[_[[]_][]_]]_ , 3 )
( _[]_[_[_[_[]_][]_]]_ , 17 )
